name,vartype,uom,specified,group,range,description
sumVol,Volume,m3,True,,"[0.001, 1000000000.0]",Column total volume of the stages
RefluxRatio,Ratio,,True,Operation,"[0.0, 0.0]",Column molar reflux ratio defined as RefluxRatio = Lreflux / (Ldist + Vovhd). For VLLE/VLWE systems it relates to liquid phase 1.
Tcond,Temperature,K,False,Condenser Section,"[100.0, 2000.0]",Column condenser temperature 
VFcond,Mole_Composition,mole fraction,True,Operation,"[-0.99999, 1.99999]","Column condenser vapor fraction\n     VF<0: total condenser, subcooled\n     VF=0: total condenser at bubble point\n     0<VF<1: partial condenser. In the special case of a partial condenser at total reflux unspecify VFcond and specify Ldist=0 instead. "
Pcond,Pressure,kPa,False,Pressures,"[1.0, 20000.0]",Column condenser pressure
DPcond,Diff_Pressure,kPa,True,Pressures,"[-50000.0, 50000.0]",Column condenser pressure drop representing the pressure drop in the condenser inlet piping
DPrflx,Diff_Pressure,kPa,False,Pressures,"[-50000.0, 50000.0]",Column DP across the internal reflux valve
Ldist,Mole_Flow,kmol/s,False,Product Rates,"[-1000000.0, 1000000.0]",Column molar distillate rate
Lmdist,Mass_Flow,kg/s,False,Product Rates,"[0.0, 0.0]",Column mass distillate rate
Lreflux,Mole_Flow,kmol/s,False,Condenser Section,"[0.0, 1000000.0]",Column molar reflux rate. For VLLE/VLWE systems it relates to liquid phase 1.
Lmreflux,Mass_Flow,kg/s,False,Condenser Section,"[0.0, 0.0]",Column mass reflux rate. For VLLE/VLWE systems it relates to liquid phase 1.
DutyCond,Heat_Duty,kJ/s,False,Condenser Section,"[-1000000000.0, 1000000000.0]",Column condenser duty
Hreflux,Mole_Enthalpy,kJ/kmol,False,Condenser Section,"[-1000000000.0, 1000000000.0]",Column reflux molar enthalpy
zreflux[Methanol],Mole_Composition,mole fraction,False,Condenser Section,"[0.0, 1.0]",Column reflux molar composition
zreflux[Water],Mole_Composition,mole fraction,False,Condenser Section,"[0.0, 1.0]",Column reflux molar composition
LevelCond,Fraction,fraction,True,Dynamics and Controls,"[0.0, 1.0]",Column internal condenser level fraction
ReboilRatio,Ratio,,False,Sump Section,"[0.0, 0.0]",Column molar reboil ratio defined as reboiler return rate / bottoms product rate
RoutFrac,Fraction,fraction,False,Sump Section,"[0.0, 0.0]",Column reboiler molar draw rate fraction defined through BoilupRatio/VFboilup*Lbtms=RoutFrac*(Lbtms+Fboilup/VFboilup). RoutFrac is calculated for 'Internal' reboilers and specified for 'External' reboilers with a 'Single' sump.
BoilupRatio,Ratio,,True,Operation,"[0.0, 0.0]",Column molar boilup ratio defined as the vapor boilup rate / liquid product rate. 
Preb,Pressure,kPa,False,Pressures,"[1.0, 20000.0]",Column reboiler pressure
